Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Luxembourg,LUX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.63915252685547
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,133590.146975586
"Macao SAR, China",MAC,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.25031995773315
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,43873.4171613356
Madagascar,MDG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.19807553291321
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,503.352081144811
Malawi,MWI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,633.609733286822
Malaysia,MYS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.27081727981567
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11109.2652881747
Maldives,MDV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.48475170135498
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10366.2567800183
Mali,MLI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.36370992660522
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,881.510088639799
Malta,MLT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.62880754470825
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,34218.2147417968
Marshall Islands,MHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,15.0798463821411
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,6172.14506539834
Mauritania,MRT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.74553000926971
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,2166.04479650543
Mauritius,MUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.67440986633301
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9062.72247588818
Mexico,MEX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10045.676371041
"Micronesia, Fed. Sts.",FSM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3571.33676887856
Moldova,MDA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.82405996322632
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,5235.63604416292
Monaco,MCO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.4237300157547
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,234317.084818276
Mongolia,MNG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.34389615058899
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4566.14013102675
Montenegro,MNE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,9465.96640819442
Morocco,MAR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.60131072998047
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3795.38696289063
Mozambique,MOZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.02751064300537
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,491.83907494798
Myanmar,MMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1210.5406876897
Namibia,NAM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,10.0280256271362
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4919.18895548026
Nauru,NRU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.51978445053101
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,11632.6914902719
Nepal,NPL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.95612215995789
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1229.39420520705
Netherlands,NLD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.13583135604858
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,57708.1112134322
